AGIL01142;103533;06/07/2006;23348.60;23348.60;23622.12;;01354/0001;034;103533;;13;238.44;35.08;
AGIL01174;102676;20/06/2006;8771.41;23.38;24.16;;00684/0002;005;102676;20/06/2006;29;0.68;0.10;
AGIL01190;102108;06/06/2006;28609.94;28609.94;30299.80;;00692/0004;017;102108;;43;1469.44;220.42;
AGIL01190;103314;06/07/2006;28516.29;28516.29;29024.67;;00692/0004;018;103314;;13;442.79;65.59;
AGIL01215;102685;20/06/2006;30364.02;1087.73;1118.46;;00736/0004;017;102685;20/06/2006;29;26.84;3.89;
AGIL01232;102822;20/06/2006;48891.05;332.48;343.10;;01367/0004;019;102822;22/06/2006;29;9.27;1.35;
AGIL01232;102823;20/06/2006;100484.18;741.88;767.90;;01367/0005;007;102823;22/06/2006;29;22.71;3.31;
AGIL01234;103322;06/07/2006;16670.58;64.42;65.24;;00726/0018;016;103322;10/07/2006;13;0.71;0.11;
AGIL01247;103136;30/06/2006;59068.47;59068.47;60139.68;;01797/0001;005;103136;;19;935.25;135.96;
AGIL01340;103063;25/06/2006;68005.97;34201.56;35044.35;;00801/0002;033;103063;26/06/2006;24;736.02;106.77;
AGIL01407;103356;06/07/2006;20630.87;12858.20;13060.20;;00827/0004;002;103356;12/07/2006;13;175.98;26.02;
AGIL01430;100944;06/05/2006;28839.95;315.92;340.68;;00844/0003;032;100944;28/06/2006;74;21.53;3.23;
AGIL01430;102157;06/06/2006;28859.27;28859.27;30173.78;;00844/0003;033;102157;;43;1143.05;171.46;
AGIL01430;103363;06/07/2006;28833.59;28833.59;29229.81;;00844/0003;034;103363;;13;345.27;50.95;
AGIL01430;101488;20/05/2006;40049.79;40049.79;43580.84;;00844/0005;012;101488;;60;3070.48;460.57;
AGIL01430;102701;20/06/2006;36933.55;36933.55;38502.84;;00844/0005;013;102701;;29;1368.59;200.70;
AGIL01464;102704;20/06/2006;23489.75;23489.75;24444.30;;00852/0005;012;102704;;29;832.58;121.97;
AGIL01468;103369;06/07/2006;63903.65;63903.65;65048.22;;00866/0004;017;103369;;13;996.90;147.67;
AGIL01505;102245;06/06/2006;18216.00;654.43;690.62;;01166/0001;042;102245;19/06/2006;43;31.47;4.72;
AGIL01505;103450;06/07/2006;18139.28;18139.28;18442.02;;01166/0001;043;103450;;13;263.71;39.03;
AGIL01523;102718;20/06/2006;7261.80;87.45;90.68;;00907/0002;024;102718;20/06/2006;29;2.82;0.41;
AGIL01561;102715;20/06/2006;47370.21;56.64;58.62;;00897/0002;008;102715;20/06/2006;29;1.73;0.25;
AGIL01589;103379;06/07/2006;64665.37;64665.37;65487.10;;00924/0004;020;103379;;13;716.19;105.54;
AGIL01598;100963;06/05/2006;5229.57;2152.22;2386.25;;00930/0002;012;100963;30/06/2006;74;203.50;30.53;
AGIL01598;102176;06/06/2006;5242.65;5242.65;5573.91;;00930/0002;013;102176;;43;288.05;43.21;
AGIL01598;103381;06/07/2006;5205.63;5205.63;5304.92;;00930/0002;014;103381;;13;86.47;12.82;
AGIL01608;76944;20/08/2004;13104.54;13104.54;22292.57;;00939/0002;027;76944;;698;8115.39;1072.64;
AGIL01608;78070;20/09/2004;13048.62;13048.62;21798.13;;00939/0002;028;78070;;667;7721.88;1027.63;
AGIL01608;79190;20/10/2004;12987.88;12987.88;21315.80;;00939/0002;029;79190;;637;7340.24;987.68;
AGIL01608;80288;20/11/2004;13052.28;13052.28;21022.87;;00939/0002;030;80288;;606;7017.65;952.94;
AGIL01608;81400;20/12/2004;13007.74;13007.74;20570.50;;00939/0002;031;81400;;576;6647.48;915.28;
AGIL01608;82527;20/01/2005;13106.30;13106.30;20315.23;;00939/0002;032;82527;;545;6337.37;871.56;
AGIL01608;83668;20/02/2005;13113.53;13113.53;19911.98;;00939/0002;033;83668;;514;5980.19;818.26;
AGIL01608;84818;20/03/2005;13039.73;13039.73;19434.88;;00939/0002;034;84818;;486;5622.60;772.55;
AGIL01608;85979;20/04/2005;13089.00;13089.00;19103.07;;00939/0002;035;85979;;455;5283.85;730.22;
AGIL01608;87142;20/05/2005;13085.70;13085.70;18705.39;;00939/0002;036;87142;;425;4934.22;685.47;
AGIL01627;103066;25/06/2006;3770.45;3770.45;3874.11;;00949/0003;007;103066;;24;90.49;13.17;
AGIL01648;100969;06/05/2006;11396.23;11396.23;12236.74;;00960/0005;015;100969;;74;730.88;109.63;
AGIL01648;102181;06/06/2006;11375.05;11375.05;11852.86;;00960/0005;016;102181;;43;415.49;62.32;
AGIL01648;103386;06/07/2006;11351.24;11351.24;11495.49;;00960/0005;017;103386;;13;125.72;18.53;
AGIL01648;100970;06/05/2006;7325.19;7325.19;7865.45;;00960/0006;015;100970;;74;469.79;70.47;
AGIL01648;102182;06/06/2006;7311.52;7311.52;7618.64;;00960/0006;016;102182;;43;267.06;40.06;
AGIL01648;103387;06/07/2006;7296.19;7296.19;7388.91;;00960/0006;017;103387;;13;80.81;11.91;
AGIL01648;100309;20/04/2006;39802.88;15476.59;17045.94;;00960/0007;007;100309;12/07/2006;90;1364.65;204.70;
AGIL01648;101520;20/05/2006;39437.76;39437.76;42089.42;;00960/0007;008;101520;;60;2305.79;345.87;
AGIL01648;102731;20/06/2006;39611.10;39611.10;40876.94;;00960/0007;009;102731;;29;1105.01;160.83;
AGIL01655;102732;20/06/2006;10557.47;59.20;61.61;;00966/0005;016;102732;24/06/2006;29;2.10;0.31;
AGIL01660;103659;06/07/2006;39822.41;48.04;48.80;;01575/0001;019;103659;07/07/2006;13;0.66;0.10;
AGIL01676;102739;20/06/2006;23338.63;146.93;152.22;;01009/0003;022;102739;22/06/2006;29;4.62;0.67;
AGIL01682;102202;06/06/2006;43090.57;3786.70;3979.15;;00985/0003;018;102202;11/07/2006;43;167.35;25.10;
AGIL01682;103407;06/07/2006;42851.17;42851.17;43508.34;;00985/0003;019;103407;;13;572.54;84.63;
AGIL01693;85485;06/04/2005;33724.66;33724.66;50401.23;;01003/0002;036;85485;;469;14648.17;2028.40;
AGIL01697;102738;20/06/2006;21880.78;435.35;453.04;;00999/0002;016;102738;19/06/2006;29;15.43;2.26;
AGIL01700;102743;20/06/2006;24883.54;107.47;111.64;;01018/0002;013;102743;19/06/2006;29;3.64;0.53;
AGIL01712;102748;20/06/2006;19075.64;377.31;390.55;;01049/0003;029;102748;19/06/2006;29;11.55;1.69;
AGIL01734;102213;06/06/2006;105046.59;105046.59;109747.66;;01035/0004;044;102213;;43;4087.89;613.18;
AGIL01734;103418;06/07/2006;104924.03;104924.03;106344.48;;01035/0004;045;103418;;13;1237.84;182.61;
AGIL01749;102212;06/06/2006;67635.99;67635.99;70848.66;;01033/0003;024;102212;;43;2793.63;419.04;
AGIL01749;103417;06/07/2006;67355.95;67355.95;68323.75;;01033/0003;025;103417;;13;843.28;124.52;
AGIL01753;102572;06/06/2006;195604.08;195604.08;205276.71;;01780/0001;005;102572;;43;8410.98;1261.65;
AGIL01753;103778;06/07/2006;191344.51;191344.51;194199.52;;01780/0001;006;103778;;13;2487.48;367.53;
AGIL01754;102758;20/06/2006;6994.46;204.16;212.08;;01114/0002;020;102758;23/06/2006;29;6.91;1.01;
AGIL01758;100652;25/04/2006;28370.38;8982.61;9809.44;;01055/0001;048;100652;15/05/2006;85;718.98;107.85;
AGIL01761;101540;20/05/2006;26403.66;26403.66;28066.61;;01064/0001;048;101540;;60;1446.04;216.91;
AGIL01761;102751;20/06/2006;28234.82;28234.82;29090.81;;01064/0001;049;102751;;29;747.39;108.60;
AGIL01764;103421;06/07/2006;56728.48;56728.48;57449.35;;01046/0011;004;103421;;13;628.28;92.59;
AGIL01772;103521;06/07/2006;102584.01;496.90;504.73;;01333/0004;010;103521;10/07/2006;13;6.82;1.01;
AGIL01775;100461;20/04/2006;14932.77;1752.11;1929.77;;01515/0001;019;100461;19/06/2006;90;154.49;23.17;
AGIL01775;101666;20/05/2006;14780.84;14780.84;15774.66;;01515/0001;020;101666;;60;864.19;129.63;
AGIL01775;102870;20/06/2006;14825.51;14825.51;15299.28;;01515/0001;021;102870;;29;413.58;60.19;
AGIL01784;99808;06/04/2006;21859.55;184.81;205.14;;01108/0003;036;99808;11/04/2006;104;17.68;2.65;
